END,EOL,,ROUTER,,,TYPE,,,SPECS,,,,,,DIMENSIONS (INCHES),,,PORTS / CHANNELS / SLOTS,,,,,,,,,,,,,,PERFORMANCE,,MEMORY MB,,,,THROUGHPUT - MBPS,,MAXIMUM STREAMS / CHANNELS,,,,,,,,FEATURES,,,,,,,,,,
SKU,EOL,YEAR,MAKE,SERIES,MODEL,A,B,C,IOS,BASE,USERS,SLOTS,RU,POE(W),HEIGHT,WIDTH,DEPTH,LAN,TP,WAN,TP,LAN/WAN,RJ-45,SFP,PVDM,VPN,USB,BRI VOICE,FXS,FXO,DSP,KPPS,MPPS,RAM MIN,RAM MAX,FLASH MIN,FLASH MAX,MIN,MAX,SRST,CUCM,CCME,CUBE,CUE,TCP,IPSEC,T1/E1,SECURITY,VOICE,QoS,3G/4G,GPS,RPS,EXTERNAL,WIRELESS,PRICE,NOTES,DATASHEET
CISCO88XVA-K9,EOL,2016,Cisco,800,880VA,Branch,Router,Router,,,20,,,,,,,4,10/100,,,,,,?,,1,2,4,4,,,,256,768,128,128,15,15,,,,,,,,,,,,3G,,,,,RF,"886, 887",http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-613481.html
CISCO888-K9,EOL,2016,Cisco,800,888,Branch,Router,Router,,Advanced Security,20,,,,,,,4,10/100,,,,,,?,,,,,,,,,,,128,128,15,,,,,,,,20,,,,,3G,,,,YES,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO88X-K9,EOL,2016,Cisco,800,880G,Branch,Router,Router,,,,,,,,,,4,10/100,,,,,,?,,1,,,,,,,,,128,256,15,,,,,15,,,20,,,YES,YES,,,,,,RF,"881, 886, 887, 888",http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
L-CSR-10M-APP=,OK,2016,Cisco,1000V,AppX,Virtual,,,XE 3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5000,,,,,,,,,YES,,YES,,,,,,"$1,909",,http://www.cisco.com/c/en/us/products/collateral/routers/cloud-services-router-1000v-series/datasheet-c78-733443.html
L-CSR-10M-SEC=,OK,2016,Cisco,1000V,Security,Virtual,,,XE 3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5000,,,,,,,,,YES,,YES,,,,,,"$2,151",,http://www.cisco.com/c/en/us/products/collateral/routers/cloud-services-router-1000v-series/datasheet-c78-733443.html
CISCO7604,EOL,2015,Cisco,7600,7604,Datacentre,Router,Router,,,,,,,,,,,10/100/1000/10GB,,,4,,,?,,,,,,,,,,,,,320000,,,,,,,,,,YES,YES,,,,YES,,,,,http://www.cisco.com/c/en/us/products/collateral/routers/7604-router/product_data_sheet0900aecd8027cc3e.html
CISCO7606,EOL,2016,Cisco,7600,7606,Datacentre,Router,Router,,,,,,,,,,2,10/100/1000/10GB,4,,6,,,?,,,,,,,,,,,,,480000,,,,,,,,,,YES,YES,,,,YES,,,,,http://www.cisco.com/c/en/us/products/collateral/routers/7606-router/product_data_sheet09186a0080088773.html
CISCO7606-S,EOL,2016,Cisco,7600,7606-S,Datacentre,Router,Router,,,,,,,,,,2,10/100/1000/10GB,4,,6,,,?,,,,,,,,,,,,,480000,,,,,,,,,,YES,YES,,,,YES,,,,,http://www.cisco.com/c/en/us/products/collateral/routers/7606-router/product_data_sheet0900aecd8057f3c8.html
CISCO7609,EOL,2016,Cisco,7600,7609,Datacentre,Router,Router,,,,,,,,,,,10/100/1000/10GB,,,9,,,?,,,,,,,,,,,,,720000,,,,,,,,,,,,,,,YES,,,,,http://www.cisco.com/c/en/us/products/collateral/routers/7609-router/product_data_sheet09186a0080169ead.html
CISCO7609-S,EOL,2016,Cisco,7600,7609-S,Datacentre,Router,Router,,,,,,,,,,,10/100/1000/10GB,,,9,,,?,,,,,,,,,,,,,720000,,,,,,,,,,YES,YES,,,,YES,,,,,http://www.cisco.com/c/en/us/products/collateral/routers/7609-router/product_data_sheet0900aecd8057f3d2.html
